agency,sectors,project_types,total_records,top_code,top_code_count,second_code,second_code_count,third_code,third_code_count,fourth_code,fourth_code_count,discriminating_input
BLM,Energy Production and Management; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission,37,Energy Policy Act 2005 Sec.390(b)(4),10,Energy Policy Act 2005 Sec.390 Cat.1,9,516 DM 6,5,516 DM 11.9,4,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Transportation and Infrastructure,Surface Transportation - Other,37,516 DM 11.9,19,516 DM,4,43 CFR 46.210,2,516 DM 2,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Laws, Policies, Regulations, and Guidance; Rangeland Management",37,516 DM 11.9,16,516 DM 11.9 D,6,516 DM 11.9.D,3,"None, The action is a lease of a livestock grazing",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other,37,Energy Policy Act 2005 Sec.390,16,Energy Policy Act 2005 Sec.390 Cat.2,11,Energy Policy Act 2005 Sec.390 Cat.1,6,Energy Policy Act 2005 Sec.390 Cat.3,1,action_type: Operate/Maintain Existing → Energy Policy Act 2005 Sec.390
DOE,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Research and Development; Waste Management,37,B3.1,14,B3.6,8,A11 + A9 + B3.1,3,B3.7,2,action_type: Operate/Maintain Existing → B3.1
DOE,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Research and Development; Waste Management; Water Resources - Other,37,B3.1,15,B3.6,6,B6.1,3,B3.16,2,action_type: Operate/Maintain Existing → B3.1
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Research and Development; Utilities (electricity, gas, telecommunications)",37,B3.6,7,A11 + A9,5,A11 + A9 + B5.1,4,A9 + B5.1,3,action_type: Operate/Maintain Existing → B3.6
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Research and Development; Utilities (electricity, gas, telecommunications); Waste Management",37,B3.6,9,A11 + A9 + B5.1,3,A9 + B5.1,2,B2.1,2,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Broadband; Land Development - Other; Utilities (electricity, gas, telecommunications); Waste Management",36,516 DM 11.9,16,516 DM 11.9 E,5,516 DM 2,4,516 DM,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Utilities (electricity, gas, telecommunications); Water Resources - Irrigation and Water Supply",36,516 DM 11.9,24,516 DM 11.9 E,5,516 DM 2.3A,2,Energy Policy Act 2005 Sec.390(b)(4),1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",36,516 DM 11.9,28,516 DM 11,2,"BLM Manual H-1790-1, Appendix 4 (J)(7), Constructi",2,Energy Policy Act 2005 Sec.390 Cat.4,1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Transportation and Infrastructure; Water and Waste Management,"Pipelines; Utilities (electricity, gas, telecommunications); Water Resources - Irrigation and Water Supply",36,516 DM 11.9,21,516 DM,5,516 DM 11.9 E,4,516 DM 2,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Public and Recreational Land Use; Threatened and Endangered Species Management; Waste Management,36,516 DM 11.9,27,516 DM 11.9 H,2,"516 Department Manual (DM) 1 1.9 (K.8), Installati",1,516 DM 11.9 J,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other; Pipelines; Vegetation and Fuels Management; Waste Management; Water Resources - Other,35,Energy Policy Act 2005 Sec.390,20,Energy Policy Act 2005 Sec.390 Cat.3,9,Energy Policy Act 2005 Sec.390(b)(1),3,516 DM 11.9,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Research and Development; Waste Management,35,A11 + A9,6,A9 + B3.6,3,B3.1 + B3.7,2,A9,2,action_type: Operate/Maintain Existing → A11 + A9
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Carbon Capture and Sequestration; Conventional Energy Production - Other; Research and Development,35,B3.6,9,A11 + A9 + B3.6,7,A11 + A9,5,A9,4,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Land Development - Urban; Renewable Energy Production - Biomass; Waste Management,35,B5.1,17,B5.22,9,A1 + B5.22,4,A1 + B5.1,3,action_type: Operate/Maintain Existing → B5.1
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Research and Development; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",35,A11 + A9,12,A9,3,B5.1,2,A1 + B5.1,2,action_type: Operate/Maintain Existing → A11 + A9
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Broadband; Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications)",35,B1.19,13,B4.7,7,B1.19 + B1.7,4,B1.19 + B4.6,2,action_type: Operate/Maintain Existing → B1.19
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Renewable Energy Production - Solar; Waste Management,35,B5.1,9,A9 + B5.16,7,B5.16,6,B1.15 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Land Use or Forest Management Plan; Pipelines; Utilities (electricity, gas, telecommunications)",34,516 DM 11.9,11,Energy Policy Act 2005 Sec.390(b)(4),6,516 DM 2,6,516 DM 6,3,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Ecosystem Management and Restoration; Laws, Policies, Regulations, and Guidance; Rangeland Management",34,FLPMA 402(h),18,43 CFR 46.210,5,516 DM 11.9,5,516 DM 11.9 D,2,action_type: Operate/Maintain Existing → FLPMA 402(h)
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Ecosystem Management and Restoration; Public and Recreational Land Use; Water Resources - Other,34,516 DM 11.9,20,516 DM 11.9 E,2,"None, A.2 Minor modification of water developments",2,516 Departmental Manual (DM) 11.9(G)(3). Appendix ,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Ecosystem Management and Restoration; Public and Recreational Land Use; Waste Management; Water Resources - Other,33,516 DM 11.9,11,"H-1790-1, Appendix 4: K10, Removal of structures a",3,516 DM 11,2,"H-1790-1, Appendix 4, K10, which states: “Removal ",2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure,Land Use or Forest Management Plan; Surface Transportation - Other,33,516 DM 11.9,13,516 DM 11.9 E,9,516 DM 11.9.E,5,"516 Departmental Manual 11.9 E (9), Renewals and a",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Transportation and Infrastructure; Water and Waste Management,Pipelines; Waste Management; Water Resources - Other,33,516 DM 6,11,516 DM 11.9,9,Energy Policy Act 2005 Sec.390(b)(4),2,516 DM,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies,Ecosystem Management and Restoration; Research and Development,33,516 DM 2,20,43 CFR 46.210,6,"Departmental Categorical Exclusions 1.6, Nondestru",2,516 DM 11.9,1,action_type: Operate/Maintain Existing → 516 DM 2
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Nuclear Technology; Waste Management,33,B2.5,17,B1.31,3,B1.3,3,B6.10,1,action_type: Operate/Maintain Existing → B2.5
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Manufacturing; Research and Development; Utilities (electricity, gas, telecommunications)",33,A9 + B3.6,8,B1.31,4,B3.6,4,B5.1,2,action_type: Operate/Maintain Existing → A9 + B3.6
BLM,Energy Production and Management; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Waste Management,32,516 DM 11.9,7,Energy Policy Act 2005 Sec.390 Cat.2,7,Energy Policy Act 2005 Sec.390,3,43 CFR 46.210,3,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Land Use or Forest Management Plan; Surface Transportation - Other,32,516 DM 11.9,15,516 DM 11.9 E,8,516 DM 11,2,516 DM 11.9 A,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Agriculture; Public and Recreational Land Use; Rangeland Management,32,516 DM 11.9,14,516 DM 11,3,516 DM 11.9.D.1,3,"BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4,",2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Other; Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)",32,516 DM 11.9,11,516 DM 2,5,516 DM 11.9 A,2,516 DM,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Environmental Policy and Regulation; Land Development and Urban Planning,"Land Development - Other; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use",32,516 DM 11.9,9,43 CFR 46.210,6,516 DM 11.9 E,5,516 DM 11.9 H,4,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Land-based Oil & Gas; Pipelines; Utilities (electricity, gas, telecommunications); Waste Management",32,516 DM 11.9,12,516 DM 2 A,5,Energy Policy Act 2005 Sec.390,2,Energy Policy Act 2005 Sec.390(b)(4),2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management,High Performance Computing and Advanced Computer Hardware and Software; Manufacturing; Research and Development,32,B3.6,11,A11 + A9 + B3.6,5,A9 + B3.6,4,A9,3,action_type: Operate/Maintain Existing → B3.6
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Electricity Transmission; Land Development - Urban; Utilities (electricity, gas, telecommunications)",32,B4.11,5,B1.15,3,B4.9,3,A11 + A9 + B5.1,2,action_type: Operate/Maintain Existing → B4.11
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Nuclear Technology; Utilities (electricity, gas, telecommunications); Water Resources - Other",32,B1.3,17,B2.2,3,B2.1,3,B1.4,2,action_type: Operate/Maintain Existing → B1.3
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Mining - Metals; Research and Development; Waste Management,32,B3.6,6,A11 + A9 + B3.6,5,A9 + B3.6,5,A9 + B3.15 + B3.16 + B3.6,4,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Land Development - Other; Renewable Energy Production - Solar; Waste Management,32,B5.1,10,A1 + B5.1,3,B3.6 + B5.1,2,A9 + B5.16,2,action_type: Operate/Maintain Existing → B5.1
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Other; Pipelines; Utilities (electricity, gas, telecommunications)",31,516 DM 11.9,23,"(9), Renewals and assignments of leases, permits, ",1,516 DM 6,1,43 CFR 46.210,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other; Pipelines; Waste Management; Water Resources - Other,31,Energy Policy Act 2005 Sec.390 Cat.3,17,Energy Policy Act 2005 Sec.390,10,Energy Policy Act 2005 Sec.390(b)(3),3,Energy Policy Act 2005 Sec.390(b)(1),1,action_type: Operate/Maintain Existing → Energy Policy Act 2005 Sec.390 Cat.3
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning,"Ecosystem Management and Restoration; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use",31,516 DM 11.9,14,43 CFR 46.210,6,516 DM 2,4,516 DM 11.9 H,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Renewable Energy Production - Biomass; Utilities (electricity, gas, telecommunications); Waste Management",31,B5.1,11,A1 + A9 + B5.1,2,A1 + A9 + B3.6 + B5.1,2,B1.31 + B2.2 + B5.1,1,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Land Development - Urban; Renewable Energy Production - Solar; Waste Management,31,B5.1,15,A11 + A9 + B5.1,4,A9 + B5.1,4,A9 + B5.16,2,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Research and Development; Waste Management; Water Resources - Other,31,B3.6,16,A11 + A9 + B3.6,5,A11 + A9 + B3.1,3,A9,2,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Land Development - Other; Renewable Energy Production - Biomass; Waste Management,31,B5.1,10,A1 + B5.1,8,B5.22,6,A1 + A9 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Nuclear Technology; Routine Maintenance; Waste Management,31,B1.3,19,B3.6,3,B2.1,2,B1.28,2,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies,Ecosystem Management and Restoration; Rangeland Management; Research and Development; Vegetation and Fuels Management,30,516 DM 2,8,516 DM 11.9,7,516 DM 2 A,5,43 CFR 46.210,4,action_type: Operate/Maintain Existing → 516 DM 2
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Urban; Utilities (electricity, gas, telecommunications); Water Resources - Other",30,B2.5 + B5.1,6,A11 + A9 + B2.5 + B5.1,4,B1.3,4,B5.1,2,action_type: Operate/Maintain Existing → B2.5 + B5.1
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies,Manufacturing; Nuclear Technology,30,B1.31,13,B1.3,8,B2.5,2,B2.2,2,action_type: Operate/Maintain Existing → B1.31
DOE,"Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Water and Waste Management",Military and Defense; Nuclear Technology; Waste Management,30,B2.6,9,B1.3,5,B1.28,3,B1.30,3,action_type: Operate/Maintain Existing → B2.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Renewable Energy Production - Energy Storage; Research and Development; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",30,A9 + B3.6 + B5.1 + B5.23,21,A9 + B5.1 + B5.23,3,A1 + B5.1,1,A9,1,action_type: Operate/Maintain Existing → A9 + B3.6 + B5.1 + B5.23
DOE,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Ecosystem Management and Restoration; Land Development - Other; Waste Management,30,B1.23,10,B6.1,5,B1.3,3,B1.16,2,action_type: Operate/Maintain Existing → B1.23
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Public and Recreational Land Use; Surface Transportation - Other; Water Resources - Other,29,516 DM 11.9,18,43 CFR 46.210,3,H-1790-1-National Environmental Policy Act Handboo,2,516 DM 11,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Transportation and Infrastructure; Water and Waste Management,Pipelines; Water Resources - Irrigation and Water Supply,29,516 DM 11.9,12,516 DM 6,5,516 DM,3,516 DM 11,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Transportation and Infrastructure,"Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)",29,516 DM 2,7,43 CFR 46.210,4,516 DM 11.9,4,"DOI Departmental Manual Part 516 Chapter 11, E-9",3,action_type: Operate/Maintain Existing → 516 DM 2
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Public and Recreational Land Use; Utilities (electricity, gas, telecommunications)",29,B2.5 + B5.1,8,B5.1,5,B1.4 + B2.5 + B5.1,3,A1 + B2.5 + B5.1,2,action_type: Operate/Maintain Existing → B2.5 + B5.1
DOE,Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,"Manufacturing; Utilities (electricity, gas, telecommunications); Waste Management",29,B5.1,10,B1.31,5,B1.3,3,A9 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Water and Waste Management,Land Development - Other; Routine Maintenance; Waste Management,29,B1.3,22,B1.23 + B2.1 + B2.5,1,B1.16 + B1.3 + B3.1,1,B1.11,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Water and Waste Management,Renewable Energy Production - Solar; Waste Management,29,B5.1,7,A9 + B5.1,6,A11 + A9 + B5.1,3,A11 + A9,3,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Pipelines; Utilities (electricity, gas, telecommunications)",29,B1.3,11,B2.5,4,B5.2,2,B5.7,2,action_type: Operate/Maintain Existing → B1.3
DOE,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Land Development - Urban; Research and Development; Utilities (electricity, gas, telecommunications)",29,A11 + A9 + B2.5 + B5.1,5,A9 + B5.1,3,A11 + A9 + B5.1,3,A9 + B3.6,3,action_type: Operate/Maintain Existing → A11 + A9 + B2.5 + B5.1
DOE,Land Development and Urban Planning; Transportation and Infrastructure,Land Development - Urban; Surface Transportation - Other,29,B1.3,11,B1.13,6,B4.9,2,B1.3 + B2.1,2,action_type: Operate/Maintain Existing → B1.3
DOE,Environmental Policy and Regulation; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Laws, Policies, Regulations, and Guidance; Research and Development; Surface Transportation - Other",29,A11 + A9,19,A1 + A9,4,A1 + A11 + A9,3,A1 + A9 + B5.1,1,action_type: Operate/Maintain Existing → A11 + A9
DOE,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management",29,B1.15,7,B1.16 + B1.31 + B3.10,2,B6.10,2,B1.31,2,action_type: Operate/Maintain Existing → B1.15
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other",28,Energy Policy Act 2005 Sec.390(b)(3),18,Energy Policy Act 2005 Sec.390,4,Energy Policy Act 2005 Sec.390 Cat.3,3,516 DM 11,1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Public and Recreational Land Use; Rangeland Management,28,516 DM 11.9,11,516 DM 2,6,516 DM 11.9. A,4,43 CFR 46.210,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Environmental Policy and Regulation; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Laws, Policies, Regulations, and Guidance; Pipelines",28,516 DM 11.9,13,516 DM 11.9 E,5,Chapter 11 of the Department of Interior's Manual ,2,516 DM 11.9E,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning,Land Development - Other,28,"(9), Renewals and assignments of leases, permits, ",9,516 DM 11.9,9,"None, Renewals and assignments of leases, permits,",2,516 DM 11.9.E,2,"action_type: Operate/Maintain Existing → (9), Renewals and assignments of leases, permits, "
DOE,Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Utilities (electricity, gas, telecommunications)",28,B1.3,8,B2.5,4,B1.31,4,B5.1,3,action_type: Operate/Maintain Existing → B1.3
DOE,Transportation and Infrastructure; Water and Waste Management,"Broadband; Utilities (electricity, gas, telecommunications); Waste Management",28,B1.19,13,B1.7,5,B4.7,4,B2.2 + B4.7,1,action_type: Operate/Maintain Existing → B1.19
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,"Renewable Energy Production - Wind, Onshore; Research and Development; Waste Management",28,B3.1,4,B5.18,3,A11 + A9 + B3.1,3,B3.6,2,action_type: Operate/Maintain Existing → B3.1
DOE,Energy Production and Management,Conventional Energy Production - Land-based Oil & Gas,28,B1.3,11,A.8,4,B5.12,3,B3.7,3,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Renewable Energy Production - Energy Storage; Research and Development; Waste Management,28,B3.6,6,A1 + A11 + A9,3,A9 + B3.6,3,A9 + B2.2 + B5.1,2,action_type: Operate/Maintain Existing → B3.6
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies,Manufacturing; Mining - Metals; Research and Development,28,B3.6,10,A11 + A9 + B3.6,3,A9 + B3.6,3,A11 + A9 + B3.1 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
DOE,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Nuclear Technology; Waste Management; Water Resources - Other,28,B6.1,14,B3.1,4,B6.1 + B6.2,2,B1.3 + B3.1,1,action_type: Operate/Maintain Existing → B6.1
DOE,Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Other; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",28,B5.1,11,B5.22,5,A7 + B5.1,4,A1 + B5.1,3,action_type: Operate/Maintain Existing → B5.1
DOE,Transportation and Infrastructure; Water and Waste Management,"Broadband; Electricity Transmission; Utilities (electricity, gas, telecommunications); Waste Management",28,B1.19,12,B1.7,3,B4.6 + B4.7,3,B4.7,2,action_type: Operate/Maintain Existing → B1.19
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Land Development - Other; Land Use or Forest Management Plan; Public and Recreational Land Use,27,516 DM 11.9,9,43 CFR 46.210,4,516 DM 11.9 G,3,516 DM 11.9 A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies,Ecosystem Management and Restoration; Rangeland Management; Research and Development,27,43 CFR 46.210,11,516 DM 2,8,516 DM 11.9,2,H-1790-1-National Environmental Policy Act Handboo,2,action_type: Operate/Maintain Existing → 43 CFR 46.210
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure,"Electricity Transmission; Utilities (electricity, gas, telecommunications); Vegetation and Fuels Management",27,516 DM 11.9,19,516 DM 11.9.E,2,516 DM 2,2,"DOI Departmental Manual Part 516 Chapter 11.9, E.9",1,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Land Development and Urban Planning; Water and Waste Management,Land Development - Other; Water Resources - Other,27,B1.3,18,B2.5,4,B3.1,1,B1.15 + B2.2,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Environmental Policy and Regulation; Miscellaneous and Emerging Technologies,"Laws, Policies, Regulations, and Guidance; Renewable Energy Production - Other; Research and Development",27,A11 + A9,13,A11 + A9 + B5.1,4,A1 + A9,4,A1 + A11 + A9 + B5.1,1,action_type: Operate/Maintain Existing → A11 + A9
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Land Development - Other; Waste Management,27,B1.3,7,B4.6,3,B4.11,3,B4.10,2,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Other; Research and Development; Waste Management,27,B3.6,8,A9,5,A11 + A9 + B3.6,3,A11 + A9,2,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Electricity Transmission; Land Development - Housing; Utilities (electricity, gas, telecommunications)",26,516 DM 11.9,16,516 DM 2,3,516 DM,2,516 DM 11.9. A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Land Development - Other; Surface Transportation - Other; Waste Management,26,516 DM 11.9,13,516 DM 2,6,516 DM 11.9.E.9,2,"516 Departmental Manual 11.9. Appendix 3, Departme",2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Transportation and Infrastructure,"Electricity Transmission; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",26,516 DM 11.9,11,516 DM 11.9.E,4,516 DM 11.9 E.16,2,"BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4,",2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; Land Development - Other,26,Energy Policy Act 2005 Sec.390(b)(4),10,Energy Policy Act 2005 Sec.390 Cat.1,5,516 DM 11,4,Energy Policy Act 2005 Sec.390 Cat.4,3,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies,Ecosystem Management and Restoration; Research and Development; Vegetation and Fuels Management,26,516 DM 2,10,43 CFR 46.210,8,516 DM 11.9. A,3,"Appendix 3, Departmental Categorical Exclusions, 1",2,action_type: Operate/Maintain Existing → 516 DM 2
DOE,Environmental Policy and Regulation; Transportation and Infrastructure,"Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)",26,A11 + A9,5,A1 + A11 + A9,4,B4.3,2,A2,2,action_type: Operate/Maintain Existing → A11 + A9
DOE,Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Utilities (electricity, gas, telecommunications); Water Resources - Other",26,B1.3,15,B1.11 + B4.11,2,B4.6,2,B2.5,2,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Hydrokinetic; Research and Development; Waste Management; Water Resources - Other,26,A9 + B3.16 + B3.6 + B5.25,7,A9 + B3.6,5,B5.25,3,A11 + A9 + B3.6 + B5.15,3,action_type: Operate/Maintain Existing → A9 + B3.16 + B3.6 + B5.25
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Nuclear; Nuclear Technology; Waste Management,26,B2.5,5,B2.2,3,B1.28,3,B1.3,3,action_type: Operate/Maintain Existing → B2.5
