ce_code_normalized,authority_cfr,plain_language_description,record_count_in_nepatec,agencies,indoor_only,acreage_threshold,requires_gis_extraordinary_circumstances_check,applicable_sectors,applicable_project_types
516 DM 11.9.C,"United States Department of the Interior Departmental Manual 516 DM 11.9.C.(2), ","United States Department of the Interior Departmental Manual 516 DM 11.9.C.(2), Sale and removal of individual trees or ",41,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Electricity Transmission; Land Use or Forest Management Plan; Public and Recreational Land Use; Renewable Energy Production - Biomass; Research and Development; Surface Transportation - Other; Utilities (electric
B1.30,B1.30,B1.30,41,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M","Aviation - Airports and Air Traffic; Conventional Energy Production - Nuclear; Data Storage and Data Management; Electricity Transmission; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Manufacturing; Military and Defe"
A8,"A8, Withdrawal continuations or extensions which would only establish a specific","A8, Withdrawal continuations or extensions which would only establish a specific time period and where there would be es",39,BLM; DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Conventional Energy Production - Land-based Oil & Gas; Cybersecurity; Data Storage and Data Management; Emergency and Disaster Response; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Use or For
A1 + A9 + B5.1,"A1,A9,B5.1","A1,A9,B5.1",39,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Managem,Aviation - Airports and Air Traffic; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Data Storage and Data Management; Electricity Transmission; Land Develo
516 DM 11.9.H,"516 DM 11.9.H.(1), Issuance of Special Recreation Permits for day use or overnig","516 DM 11.9.H.(1), Issuance of Special Recreation Permits for day use or overnight use up to 14 consecutive nights; that",38,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - Non-Metallic Minerals; Ports and Waterways; Public and Recreational Land Use; Surface Transportati"
A9 + B3.11 + B3.6,"A9, B3.6, B3.11","A9, B3.6, B3.11",38,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Other; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; High Performance Co
B4.12,B4.12,B4.12,37,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and In","Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Manufacturing; Nuclear Technology; Pipelines; Renewable Energy Production - Geothermal; Renewable Energy Production - Wind, Ons"
B3.2,B3.2,B3.2,36,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology an",Agriculture; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Conventional Energy Production - Land-based Oil & Gas; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disa
B1.20 + B1.3,"B1.3, B1.20","B1.3, B1.20",36,DOE,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Agriculture; Ecosystem Management and Restoration; Habitat Conservation Plan; Land Development - Housing; Land Development - Other; Land Use or Forest Management Plan; Nuclear Technology; Public and Recreational Land Use; Rangeland Management; Resear
A1 + A11 + A9 + B5.1,"A1, A9, A11, B5.1","A1, A9, A11, B5.1",35,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Managem,"Conventional Energy Production - Rural Energy; Data Storage and Data Management; Ecosystem Management and Restoration; Land Development - Housing; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Laws, Policies,"
B1.31 + B5.1,"B1.31, B5.1","B1.31, B5.1",34,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructur,Agriculture; Conventional Energy Production - Other; Electricity Transmission; Land Development - Other; Land Development - Urban; Manufacturing; Pipelines; Renewable Energy Production - Biomass; Renewable Energy Production - Energy Storage; Renewabl
A9 + B5.1 + B5.23,"A9, B5.1, B5.23","A9, B5.1, B5.23",34,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Land Development - Other; Manufacturing; Renewable Energy Production - Energy Storage; Research and Development; Surface Transportation - Other; Surface Transportation - Public Transportation; Utilities (electricity, gas, te"
B1.32,B1.32,B1.32,34,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Broadband; Conventional Energy Production - Other; Cybersecurity; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Habitat Conservation Plan; Land Development - Other; Land Development - Urban; Military
B1.3 + B3.1,"B1.3, B3.1","B1.3, B3.1",33,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,"Agriculture; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Ecosystem Management and Restoration; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - Metals; Nuclea"
B3.1 + B3.7,"B3.1, B3.7","B3.1, B3.7",33,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Agriculture; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; High Performance Computing and Advanced Computer Hardware and Software;
B3.8,B3.8,B3.8,33,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Manag,"Agriculture; Carbon Capture and Sequestration; Conventional Energy Production - Offshore Oil and Gas; Ecosystem Management and Restoration; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Laws, Policies, Regula"
"516 Departmental Manual 11.9(D)1, Approval of tran","516 Departmental Manual 11.9(D)1, Approval of transfers of grazing preference","516 Departmental Manual 11.9(D)1, Approval of transfers of grazing preference",32,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Rangeland Management"
B1.15 + B5.1,"B1.15, B5.1","B1.15, B5.1",32,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; Emergency and Disaster Response; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Development - Urban;
B3.16,B3.16,B3.16,32,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Nuclear; Conventional Energy Production - Offshore Oil and Gas; Data Storage and Data Management; Ecosystem Management and R
B5.16,B5.16,B5.16,31,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Land Development - Housing; Land Development - Other; Land Development - Urban; Manufacturing; Public and Recreational Land Use; Renewable Energy Production - Energy Storage; Renewable Energy Production - Geothermal; Renewab
A1 + A11 + A9 + B1.32 + B2.5 + B5.1,"A1, A9, A11, B1.32, B2.5, B5.1","A1, A9, A11, B1.32, B2.5, B5.1",31,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infra,Broadband; Conventional Energy Production - Rural Energy; Data Storage and Data Management; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Housing; Land Development - Urban; Land U
B1.3 + B3.1 + B3.2,"B1.3, B3.1, B3.2","B1.3, B3.1, B3.2",31,DOE,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Managem,"Aviation - Airports and Air Traffic; Data Storage and Data Management; Ecosystem Management and Restoration; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Nuclear Technology; Pipelines; Resea"
Chapter 11 of the Department of Interior's Manual ,"Chapter 11 of the Department of Interior's Manual Part 516, Appendix 1 E, Realty","Chapter 11 of the Department of Interior's Manual Part 516, Appendix 1 E, Realty (9), Renewals and assignments of leases",30,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,"Agriculture; Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, R"
A7,A7,A7,30,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; Habitat Conservation Plan; Land Development - Other; Land Development - Urban; Land Use or 
B3.12,B3.12,B3.12,30,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Ecosystem Management and Restoration; Emergency and Disaster Response; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Development - Urb
B5.19,B5.19,B5.19,30,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Housing; Land Development - Other; Land Development - Urban; Public and Recreational Land Use; Renewable Energy Production - Geothermal; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Irrigati"
"None, None","None, None","None, None",29,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportatio","Agriculture; Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mi"
B1.3 + B4.6,"B1.3, B4.6","B1.3, B4.6",29,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Public and Recreational Land Use; Routine Maintenance; Surface Transportation - Othe
B3.6 + B3.8,"B3.6, B3.8","B3.6, B3.8",29,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Data Storage and Data Management; Ecosystem Management and Restoration; High Performance Computing and Advanced Computer Hardware and Software; Renewable Ene
B4.3,B4.3,B4.3,28,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Laws, Policies, Regulations, and Guidance; Renewable Energy Production - Hydropower; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Irrigation and Water Supply; Water Resources - Other"
B3.7,B3.7,B3.7,28,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other; Renewable Energy Production - Geothermal; Research 
B1.15 + B1.24,"B1.24, B1.15","B1.24, B1.15",28,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Cybersecurity; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Housing; Land Development - Other; Land Development - Urban; Manufacturing; Military and Defense; Nuclear Technology; 
B5.2,B5.2,B5.2,28,DOE,No,,No,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Manufacturing; Nuclear Technology; Pipelines; Renewable Energy Production - Biomass; Renewable Energy Production - Geothermal; Research and Development; Utilitie
B4.10,B4.10,B4.10,28,DOE,No,,No,"Agriculture and Natural Resource Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Transportation and Infrastructure; Water and Waste Management",Broadband; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Land Use or Forest Management Plan; Public and Recreational Land Use; Threatened and Endangered Species Management; 
A1 + A7 + B5.1,"A1,A7,B5.1","A1,A7,B5.1",27,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Land Development - Other; Land Development - Urban; Manufacturing; Renewable Energy Production - Biomass; Re
A7 + B5.1,"A7, B5.1","A7, B5.1",27,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Electricity Transmission; Land Development - Other; Land Development - Urban; Manufacturing; Renewable Energy Production - Biomass; Renewable Energy Produc
516 DM 11.9H,"516 DM 11.9H (1), Issuance of Special Recreation Permits for day use or overnigh","516 DM 11.9H (1), Issuance of Special Recreation Permits for day use or overnight use up to 14 consecutive nights; that ",26,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Rangeland Management; Surface Transportation - Other; Threatened and Endangered Species Management;"
516 DM 11.9 R,"516 DM 11.9 Realty 9, Renewals and assignments of leases, permits, or rights-of-","516 DM 11.9 Realty 9, Renewals and assignments of leases, permits, or rights-of-way where no additional rights are conve",26,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,Agriculture; Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Habitat Conservation Plan; Land Development - Other; Land Development - Urban; Land Use or Forest Managemen
A9 + B1.31 + B5.1,"A9, B1.31, B5.1","A9, B1.31, B5.1",26,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water,"Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Manufa"
B1.20 + B3.3,"B1.20, B3.3","B1.20, B3.3",26,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Manag,"Agriculture; Ecosystem Management and Restoration; Habitat Conservation Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Rangeland Management; Renewable Energy Production - Solar; Research and Development; Surface Tr"
B1.17,B1.17,B1.17,25,DOE,No,,No,"Agriculture and Natural Resource Management; Environmental Policy and Regulation; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Mana","Ecosystem Management and Restoration; Electricity Transmission; Laws, Policies, Regulations, and Guidance; Manufacturing; Military and Defense; Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management"
B3.6 + B5.15,"B3.6, B5.15","B3.6, B5.15",25,DOE,No,,No,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; Manufacturing; Renewable Energy Production - Biomass; Renewable Energy Production - Energy Storage; Renewable Energy Production - Other; Renewable Energy Production - So
A9 + B3.11 + B3.16 + B3.6 + B5.25,"A9, B3.6, B3.11, B3.16, B5.25","A9, B3.6, B3.11, B3.16, B5.25",25,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Agriculture; High Performance Computing and Advanced Computer Hardware and Software; Renewable Energy Production - Biomass; Research and Development; Waste Management; Water Resources - Other
A11 + A9 + B1.32 + B2.5 + B5.1,"A9, A11, B1.32, B2.5, B5.1","A9, A11, B1.32, B2.5, B5.1",25,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Manag,"Ecosystem Management and Restoration; Electricity Transmission; Land Development - Housing; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Renewable Energy Production - Biomass; Renewable Energy"
A11 + A9 + B3.11 + B3.6,"A9, A11, B3.6, B3.11","A9, A11, B3.6, B3.11",25,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Ecosystem Management and Restoration; High Performance Computing and Advanced Comp
"(9), Renewals and assignments of leases, permits, ","(9), Renewals and assignments of leases, permits, or right-of-way where no addit","(9), Renewals and assignments of leases, permits, or right-of-way where no additional rights are conveyed beyond those g",24,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Other; Pipelines; Public and Recreational Land Use; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)"
B1.13 + B1.3,"B1.3, B1.13","B1.3, B1.13",24,DOE,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Research and Development; Surface Transportation - Bridges; Surface Transportation - Other; Threatened and Endangered Specie
B2.4,B2.4,B2.4,24,DOE,No,,No,"Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure;",Conventional Energy Production - Other; Cybersecurity; Electricity Transmission; Land Development - Other; Land Development - Urban; Manufacturing; Military and Defense; Nuclear Technology; Research and Development; Routine Maintenance; Utilities (el
A9 + B5.15,"A9, B5.15","A9, B5.15",24,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Agriculture; Carbon Capture and Sequestration; Electricity Transmission; Land Development - Other; Land Development - Urban; Manufacturing; Public and Recreational Land Use; Renewable Energy Production - Biomass; Renewable Energy Production - Energy 
516 DM 11.9 S,"516 DM 11.9 Section F number 10, Disposal of mineral materials, such as sand, st","516 DM 11.9 Section F number 10, Disposal of mineral materials, such as sand, stone, gravel, pumice, pumicite, cinders, ",23,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,Agriculture; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Mining - Non-Metallic Minerals; Public and Recreational Land Use; Rangeland Management; Surface Transportation 
B5.4,B5.4,B5.4,23,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste",Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Emergency and Disaster Response; Land Development - Other; Nuclear Technology; Pipelines; Renewable Energy Production - Geo
B1.15 + B1.3,"B1.3, B1.15","B1.3, B1.15",23,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste",Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; Habitat Conservation Plan; Land Development - Other; Land Development - Urban; Military and Defense; Nuclear Technology; Pipelines; Public and Rec
B1.3 + B3.2,"B1.3, B3.2","B1.3, B3.2",23,DOE,No,,No,"Agriculture and Natural Resource Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Transportation and Infrastructure; Water and Waste Management",Aviation - Airports and Air Traffic; Broadband; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Surface Transportation - Other; Threatened and Endangered Species Management; U
B1.5,B1.5,B1.5,22,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Land Development - Other; Laws, Policies, Regulations, and Guidance; Manufacturing; Nuclear Technology; Renewable Energy Production - Energy Storage; Research and Devel"
A11 + A9 + B3.6 + B5.1,"A11, A9, B5.1, B3.6","A11, A9, B5.1, B3.6",22,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,"Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Laws, Policies, R"
B4.1,B4.1,B4.1,22,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Other; Electricity Transmission; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Manufacturing; Renewable Energy Production - Biomass; Renewable Energy Production - Hydropower; Renewable Energy Pr"
"516 Departmental Manual (DM), 11.9, Appendix 4, E ","516 Departmental Manual (DM), 11.9, Appendix 4, E (16), BLM Handbook H-1790-1, A","516 Departmental Manual (DM), 11.9, Appendix 4, E (16), BLM Handbook H-1790-1, Acquisition of easements for an existing ",21,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Water and Waste Management,Land Development - Other; Land Use or Forest Management Plan; Mining - Metals; Mining - Non-Metallic Minerals; Public and Recreational Land Use; Waste Management; Water Resources - Other
"Department of the Interior, 516 Departmental Manua","Department of the Interior, 516 Departmental Manual (DM) 11.9 Realty (E)(9), Ren","Department of the Interior, 516 Departmental Manual (DM) 11.9 Realty (E)(9), Renewals and assignments of leases, permits",21,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Broadband; Conventional Energy Production - Other; Data Storage and Data Management; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Housing; Land Development - Other; Land Use or F
"DOI Departmental Manual Part 516 Chapter 11.9, E.9","DOI Departmental Manual Part 516 Chapter 11.9, E.9: Renewals and assignments of ","DOI Departmental Manual Part 516 Chapter 11.9, E.9: Renewals and assignments of leases, permits, or rights-of-way where ",21,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Agriculture; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Surface Transportation - Other; Utilities (e"
B3.15,B3.15,B3.15,21,DOE,No,,No,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Manufacturing; Nuclear Technology; Renewable Energy Production - Other; Renewable Energy Production - Solar; Research and Development; Semiconductors; Waste Management; Water Resources - Other
A9 + B2.2 + B5.1,"A9, B2.2, B5.1","A9, B2.2, B5.1",21,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Artificial Intelligence and Machine Learning; Data Storage and Data Management; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Housing; Land Development - Urban; Manufacturing; Ren
516 DM 11.9.E.9,"516 DM 11.9.E.9, Appendix 4, Renewals and assignments of leases, permits, or rig","516 DM 11.9.E.9, Appendix 4, Renewals and assignments of leases, permits, or rights-of-way where no additional rights ar",20,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,"Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - Non-Me"
